packet_id,realization_id,size,control,target,e_min,e_max,shift_energy,keep_count,eigen_offset,eigen_count
ed0018,l08_r003,8,0.75,0.25,-4.0124013334016428,2.6932640862295045,1.0168477313217177,31,1260,70
ed0019,l08_r003,8,0.75,0.5,-4.0124013334016428,2.6932640862295045,-0.65956862358606916,31,1330,70
ed0020,l08_r003,8,0.75,0.75,-4.0124013334016428,2.6932640862295045,-2.3359849784938564,31,1400,70
ed0021,l08_r003,8,8,0.25,-18.727746663773345,18.704714009275378,9.346598841013197,31,1470,70
ed0022,l08_r003,8,8,0.5,-18.727746663773345,18.704714009275378,-0.011516327248983771,31,1540,70
ed0023,l08_r003,8,8,0.75,-18.727746663773345,18.704714009275378,-9.3696314955111646,31,1610,70
ed0024,l08_r004,8,0.75,0.25,-4.1368180607581859,2.4780790810662516,0.82435479561014224,31,1680,70
ed0025,l08_r004,8,0.75,0.5,-4.1368180607581859,2.4780790810662516,-0.82936948984596714,31,1750,70
ed0026,l08_r004,8,0.75,0.75,-4.1368180607581859,2.4780790810662516,-2.483093775302077,31,1820,70
ed0027,l08_r004,8,8,0.25,-19.90688934131229,17.921214853880453,8.4641888050822676,31,1890,70
ed0028,l08_r004,8,8,0.5,-19.90688934131229,17.921214853880453,-0.99283724371591831,31,1960,70
ed0029,l08_r004,8,8,0.75,-19.90688934131229,17.921214853880453,-10.449863292514106,31,2030,70
ed0030,l08_r005,8,0.75,0.25,-3.8726518252018947,2.3012743357770864,0.75779279553234113,31,2100,70
ed0031,l08_r005,8,0.75,0.5,-3.8726518252018947,2.3012743357770864,-0.78568874471240413,31,2170,70
ed0032,l08_r005,8,0.75,0.75,-3.8726518252018947,2.3012743357770864,-2.3291702849571498,31,2240,70
ed0033,l08_r005,8,8,0.25,-14.488958385234515,13.94163604464304,6.8339874371736515,31,2310,70
ed0034,l08_r005,8,8,0.5,-14.488958385234515,13.94163604464304,-0.27366117029573722,31,2380,70
ed0035,l08_r005,8,8,0.75,-14.488958385234515,13.94163604464304,-7.3813097777651251,31,2450,70
ed0036,l08_r006,8,0.75,0.25,-3.9868877557230666,2.2189600260065347,0.6674980805741344,31,2520,70
ed0037,l08_r006,8,0.75,0.5,-3.9868877557230666,2.2189600260065347,-0.88396386485826595,31,2590,70
ed0038,l08_r006,8,0.75,0.75,-3.9868877557230666,2.2189600260065347,-2.4354258102906661,31,2660,70
ed0039,l08_r006,8,8,0.25,-10.733782613838031,7.9352591052057235,3.267998675444785,31,2730,70
ed0040,l08_r006,8,8,0.5,-10.733782613838031,7.9352591052057235,-1.3992617543161536,31,2800,70
ed0041,l08_r006,8,8,0.75,-10.733782613838031,7.9352591052057235,-6.0665221840770922,31,2870,70
ed0042,l08_r007,8,0.75,0.25,-3.8111351703450822,2.4050517438651169,0.851005015312567,31,2940,70
ed0043,l08_r007,8,0.75,0.5,-3.8111351703450822,2.4050517438651169,-0.70304171323998288,31,3010,70
ed0044,l08_r007,8,0.75,0.75,-3.8111351703450822,2.4050517438651169,-2.2570884417925332,31,3080,70
ed0045,l08_r007,8,8,0.25,-12.542025954288494,12.115098236827089,5.9508171890481929,31,3150,70
ed0046,l08_r007,8,8,0.5,-12.542025954288494,12.115098236827089,-0.21346385873070339,31,3220,70
ed0047,l08_r007,8,8,0.75,-12.542025954288494,12.115098236827089,-6.3777449065095997,31,3290,70
ed0048,l08_r008,8,0.75,0.25,-3.8014712950033589,2.1848230483595601,0.68824946251883024,31,3360,70
ed0049,l08_r008,8,0.75,0.5,-3.8014712950033589,2.1848230483595601,-0.80832412332189962,31,3430,70
ed0050,l08_r008,8,0.75,0.75,-3.8014712950033589,2.1848230483595601,-2.304897709162629,31,3500,70
ed0051,l08_r008,8,8,0.25,-11.609092841142353,9.7527818401520321,4.4123131698284359,31,3570,70
ed0052,l08_r008,8,8,0.5,-11.609092841142353,9.7527818401520321,-0.92815550049516027,31,3640,70
ed0053,l08_r008,8,8,0.75,-11.609092841142353,9.7527818401520321,-6.2686241708187573,31,3710,70
ed0054,l08_r009,8,0.75,0.25,-3.933434700327668,2.2781388490625449,0.72524546171499171,31,3780,70
ed0055,l08_r009,8,0.75,0.5,-3.933434700327668,2.2781388490625449,-0.82764792563256151,31,3850,70
ed0056,l08_r009,8,0.75,0.75,-3.933434700327668,2.2781388490625449,-2.3805413129801147,31,3920,70
ed0057,l08_r009,8,8,0.25,-13.166220885362728,12.374703562825882,5.9894724507787291,31,3990,70
ed0058,l08_r009,8,8,0.5,-13.166220885362728,12.374703562825882,-0.39575866126842385,31,4060,70
ed0059,l08_r009,8,8,0.75,-13.166220885362728,12.374703562825882,-6.7809897733155786,31,4130,70
ed0060,l08_r010,8,0.75,0.25,-4.4590503681184099,2.3410727410533405,0.64104196376040301,31,4200,70
ed0061,l08_r010,8,0.75,0.5,-4.4590503681184099,2.3410727410533405,-1.0589888135325345,31,4270,70
ed0062,l08_r010,8,0.75,0.75,-4.4590503681184099,2.3410727410533405,-2.759019590825472,31,4340,70
ed0063,l08_r010,8,8,0.25,-19.645163780390014,17.622350183641018,8.3054716926332599,31,4410,70
ed0064,l08_r010,8,8,0.5,-19.645163780390014,17.622350183641018,-1.0114067983744981,31,4480,70
ed0065,l08_r010,8,8,0.75,-19.645163780390014,17.622350183641018,-10.328285289382258,31,4550,70
ed0066,l08_r011,8,0.75,0.25,-3.958569156739447,2.8033208020869975,1.1128483123803865,31,4620,70
ed0067,l08_r011,8,0.75,0.5,-3.958569156739447,2.8033208020869975,-0.57762417732622451,31,4690,70
ed0068,l08_r011,8,0.75,0.75,-3.958569156739447,2.8033208020869975,-2.2680966670328355,31,4760,70
ed0069,l08_r011,8,8,0.25,-14.608226195341016,16.573620453861956,8.7781587915612125,31,4830,70
ed0070,l08_r011,8,8,0.5,-14.608226195341016,16.573620453861956,0.98269712926046893,31,4900,70
ed0071,l08_r011,8,8,0.75,-14.608226195341016,16.573620453861956,-6.8127645330402729,31,4970,70
ed0072,l10_r000,10,0.75,0.25,-4.8277563340007958,3.8255979278055494,1.662259362353963,61,5040,252
ed0073,l10_r000,10,0.75,0.5,-4.8277563340007958,3.8255979278055494,-0.50107920309762344,61,5292,252
ed0074,l10_r000,10,0.75,0.75,-4.8277563340007958,3.8255979278055494,-2.6644177685492099,61,5544,252
ed0075,l10_r000,10,8,0.25,-24.207986817446219,25.19916714822547,12.847378656807548,61,5796,252
ed0076,l10_r000,10,8,0.5,-24.207986817446219,25.19916714822547,0.49559016538962553,61,6048,252
ed0077,l10_r000,10,8,0.75,-24.207986817446219,25.19916714822547,-11.856198326028299,61,6300,252
ed0078,l10_r001,10,0.75,0.25,-4.6980876226544916,3.1331394762238407,1.1753327015042576,61,6552,252
ed0079,l10_r001,10,0.75,0.5,-4.6980876226544916,3.1331394762238407,-0.78247407321532547,61,6804,252
ed0080,l10_r001,10,0.75,0.75,-4.6980876226544916,3.1331394762238407,-2.7402808479349083,61,7056,252
ed0081,l10_r001,10,8,0.25,-17.92278154764255,18.866544527873181,9.6692130089942481,61,7308,252
ed0082,l10_r001,10,8,0.5,-17.92278154764255,18.866544527873181,0.47188149011531522,61,7560,252
ed0083,l10_r001,10,8,0.75,-17.92278154764255,18.866544527873181,-8.7254500287636176,61,7812,252
ed0084,l10_r002,10,0.75,0.25,-4.7869502506246517,3.5855172448679906,1.4924003709948299,61,8064,252
ed0085,l10_r002,10,0.75,0.5,-4.7869502506246517,3.5855172448679906,-0.60071650287833078,61,8316,252
ed0086,l10_r002,10,0.75,0.75,-4.7869502506246517,3.5855172448679906,-2.6938333767514915,61,8568,252
ed0087,l10_r002,10,8,0.25,-22.378962820582679,23.365694741981674,11.929530351340585,61,8820,252
ed0088,l10_r002,10,8,0.5,-22.378962820582679,23.365694741981674,0.49336596069949579,61,9072,252
ed0089,l10_r002,10,8,0.75,-22.378962820582679,23.365694741981674,-10.942798429941593,61,9324,252
ed0090,l10_r003,10,0.75,0.25,-4.9858542301587221,3.1780515455893945,1.1370751016523655,61,9576,252
ed0091,l10_r003,10,0.75,0.5,-4.9858542301587221,3.1780515455893945,-0.90390134228466357,61,9828,252
ed0092,l10_r003,10,0.75,0.75,-4.9858542301587221,3.1780515455893945,-2.9448777862216926,61,10080,252
ed0093,l10_r003,10,8,0.25,-21.941624413069345,20.928862169710364,10.211240524015437,61,10332,252
ed0094,l10_r003,10,8,0.5,-21.941624413069345,20.928862169710364,-0.5063811216794889,61,10584,252
ed0095,l10_r003,10,8,0.75,-21.941624413069345,20.928862169710364,-11.224002767374415,61,10836,252
ed0096,l10_r004,10,0.75,0.25,-4.8559383622963175,3.8128306220750297,1.6456383759821929,61,11088,252
ed0097,l10_r004,10,0.75,0.5,-4.8559383622963175,3.8128306220750297,-0.52155387011064391,61,11340,252
ed0098,l10_r004,10,0.75,0.75,-4.8559383622963175,3.8128306220750297,-2.6887461162034807,61,11592,252
ed0099,l10_r004,10,8,0.25,-23.165116634642473,23.476327795609748,11.815966688046693,61,11844,252
ed0100,l10_r004,10,8,0.5,-23.165116634642473,23.476327795609748,0.1556055804836376,61,12096,252
ed0101,l10_r004,10,8,0.75,-23.165116634642473,23.476327795609748,-11.504755527079418,61,12348,252
ed0102,l10_r005,10,0.75,0.25,-4.7151322801440196,2.9409401727288338,1.0269220595106203,61,12600,252
ed0103,l10_r005,10,0.75,0.5,-4.7151322801440196,2.9409401727288338,-0.88709605370759315,61,12852,252
ed0104,l10_r005,10,0.75,0.75,-4.7151322801440196,2.9409401727288338,-2.8011141669258062,61,13104,252
ed0105,l10_r005,10,8,0.25,-16.076399175402504,15.111610369784779,7.3146079834879583,61,13356,252
ed0106,l10_r005,10,8,0.5,-16.076399175402504,15.111610369784779,-0.48239440280886292,61,13608,252
ed0107,l10_r005,10,8,0.75,-16.076399175402504,15.111610369784779,-8.2793967891056841,61,13860,252
ed0108,l10_r006,10,0.75,0.25,-4.8147663180819498,3.2045621889712983,1.1997300622079861,61,14112,252
ed0109,l10_r006,10,0.75,0.5,-4.8147663180819498,3.2045621889712983,-0.80510206455532618,61,14364,252
ed0110,l10_r006,10,0.75,0.75,-4.8147663180819498,3.2045621889712983,-2.8099341913186384,61,14616,252
ed0111,l10_r006,10,8,0.25,-15.783166424055509,16.389987333283813,8.3466988939489823,61,14868,252
ed0112,l10_r006,10,8,0.5,-15.783166424055509,16.389987333283813,0.30341045461415206,61,15120,252
ed0113,l10_r006,10,8,0.75,-15.783166424055509,16.389987333283813,-7.7398779847206782,61,15372,252
ed0114,l10_r007,10,0.75,0.25,-4.89523806075983,3.2137879174055026,1.1865314228641695,61,15624,252
ed0115,l10_r007,10,0.75,0.5,-4.89523806075983,3.2137879174055026,-0.8407250716771637,61,15876,252
ed0116,l10_r007,10,0.75,0.75,-4.89523806075983,3.2137879174055026,-2.8679815662184964,61,16128,252
ed0117,l10_r007,10,8,0.25,-19.113823330486408,20.111658996150453,10.305288414491237,61,16380,252
ed0118,l10_r007,10,8,0.5,-19.113823330486408,20.111658996150453,0.49891783283202074,61,16632,252
ed0119,l10_r007,10,8,0.75,-19.113823330486408,20.111658996150453,-9.3074527488271954,61,16884,252
ed0120,l10_r008,10,0.75,0.25,-4.9074977500645591,2.8656817982603053,0.92238691117908922,61,17136,252
ed0121,l10_r008,10,0.75,0.5,-4.9074977500645591,2.8656817982603053,-1.0209079759021269,61,17388,252
ed0122,l10_r008,10,0.75,0.75,-4.9074977500645591,2.8656817982603053,-2.9642028629833428,61,17640,252
ed0123,l10_r008,10,8,0.25,-18.672634012408178,17.592074486176518,8.5258973615303439,61,17892,252
ed0124,l10_r008,10,8,0.5,-18.672634012408178,17.592074486176518,-0.54027976311583004,61,18144,252
ed0125,l10_r008,10,8,0.75,-18.672634012408178,17.592074486176518,-9.606456887762004,61,18396,252
ed0126,l10_r009,10,0.75,0.25,-4.7247923374268677,2.7559926154114169,0.88579637720184579,61,18648,252
ed0127,l10_r009,10,0.75,0.5,-4.7247923374268677,2.7559926154114169,-0.98439986100772536,61,18900,252
ed0128,l10_r009,10,0.75,0.75,-4.7247923374268677,2.7559926154114169,-2.8545960992172965,61,19152,252
ed0129,l10_r009,10,8,0.25,-14.664797138197166,12.380371235321999,5.6190791419422075,61,19404,252
ed0130,l10_r009,10,8,0.5,-14.664797138197166,12.380371235321999,-1.1422129514375836,61,19656,252
ed0131,l10_r009,10,8,0.75,-14.664797138197166,12.380371235321999,-7.9035050448173756,61,19908,252
ed0132,l10_r010,10,0.75,0.25,-4.6187288804088507,3.2485403484895596,1.2817230412649572,61,20160,252
ed0133,l10_r010,10,0.75,0.5,-4.6187288804088507,3.2485403484895596,-0.68509426595964529,61,20412,252
ed0134,l10_r010,10,0.75,0.75,-4.6187288804088507,3.2485403484895596,-2.6519115731842482,61,20664,252
ed0135,l10_r010,10,8,0.25,-13.680426506764261,14.522365352160506,7.4716673874293136,61,20916,252
ed0136,l10_r010,10,8,0.5,-13.680426506764261,14.522365352160506,0.42096942269812132,61,21168,252
ed0137,l10_r010,10,8,0.75,-13.680426506764261,14.522365352160506,-6.6297285420330709,61,21420,252
ed0138,l10_r011,10,0.75,0.25,-4.9907599553746902,3.175464264615472,1.1339082096179314,61,21672,252
ed0139,l10_r011,10,0.75,0.5,-4.9907599553746902,3.175464264615472,-0.9076478453796093,61,21924,252
ed0140,l10_r011,10,0.75,0.75,-4.9907599553746902,3.175464264615472,-2.94920390037715,61,22176,252
ed0141,l10_r011,10,8,0.25,-18.826116020418223,19.288735423661667,9.7600225626416943,61,22428,252
ed0142,l10_r011,10,8,0.5,-18.826116020418223,19.288735423661667,0.23130970162172204,61,22680,252
ed0143,l10_r011,10,8,0.75,-18.826116020418223,19.288735423661667,-9.2974031593982502,61,22932,252
