packet_id,realization_id,size,control,target,e_min,e_max,shift_energy,keep_count,eigen_offset,eigen_count
ed0000,l08_r000,8,0.75,0.25,-3.8111105466760407,2.2276072471488595,0.71792779869263446,31,0,70
ed0001,l08_r000,8,0.75,0.5,-3.8111105466760407,2.2276072471488595,-0.79175164976359058,31,70,70
ed0002,l08_r000,8,0.75,0.75,-3.8111105466760407,2.2276072471488595,-2.3014310982198154,31,140,70
ed0003,l08_r000,8,8,0.25,-11.929763657794268,10.029027770169636,4.5393299131786602,31,210,70
ed0004,l08_r000,8,8,0.5,-11.929763657794268,10.029027770169636,-0.95036794381231537,31,280,70
ed0005,l08_r000,8,8,0.75,-11.929763657794268,10.029027770169636,-6.4400658008032909,31,350,70
ed0006,l08_r001,8,0.75,0.25,-3.7237206844579971,2.1638371813179487,0.69194771487396212,31,420,70
ed0007,l08_r001,8,0.75,0.5,-3.7237206844579971,2.1638371813179487,-0.77994175157002443,31,490,70
ed0008,l08_r001,8,0.75,0.75,-3.7237206844579971,2.1638371813179487,-2.251831218014011,31,560,70
ed0009,l08_r001,8,8,0.25,-9.246231211472633,7.839832229976933,3.568316369614541,31,630,70
ed0010,l08_r001,8,8,0.5,-9.246231211472633,7.839832229976933,-0.70319949074785093,31,700,70
ed0011,l08_r001,8,8,0.75,-9.246231211472633,7.839832229976933,-4.9747153511102429,31,770,70
ed0012,l08_r002,8,0.75,0.25,-4.0256086217539817,2.4200365616684865,0.80862526581286942,31,840,70
ed0013,l08_r002,8,0.75,0.5,-4.0256086217539817,2.4200365616684865,-0.80278603004274762,31,910,70
ed0014,l08_r002,8,0.75,0.75,-4.0256086217539817,2.4200365616684865,-2.4141973258983649,31,980,70
ed0015,l08_r002,8,8,0.25,-17.514413140170564,15.540568322460313,7.2768229568025937,31,1050,70
ed0016,l08_r002,8,8,0.5,-17.514413140170564,15.540568322460313,-0.98692240885512561,31,1120,70
ed0017,l08_r002,8,8,0.75,-17.514413140170564,15.540568322460313,-9.2506677745128449,31,1190,70
